date,state,district,market,current_price,forecast_7d,forecast_15d,forecast_30d,expected_change_percent,rolling_volatility,spike_score,warning_level,warning_reason
2024-01-01,Punjab,Ludhiana,Ludhiana Mandi,3004.9671415301123,3154.9671415301123,3164.9671415301123,3174.9671415301123,4.991735115067543,0.0,0.0,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-02,Punjab,Ludhiana,Ludhiana Mandi,3003.5844985184003,3153.5844985184003,3163.5844985184003,3173.5844985184003,4.994032965411547,0.0,-0.7071067811864312,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-03,Punjab,Ludhiana,Ludhiana Mandi,3010.0613838994072,3160.0613838994072,3170.0613838994072,3180.0613838994072,4.983287078540616,0.0018501480409718431,1.1307373791604214,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%); Price spike Z-score (1.13) elevated
2024-01-04,Punjab,Ludhiana,Ludhiana Mandi,3025.2916824634876,3175.2916824634876,3185.2916824634876,3195.2916824634876,4.958199596736251,0.0027612003500715097,1.4399363275606984,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%); Price spike Z-score (1.44) elevated
2024-01-05,Punjab,Ludhiana,Ludhiana Mandi,3022.9501487162543,3172.9501487162543,3182.9501487162543,3192.9501487162543,4.962040146897559,0.002715142333417611,0.9447628715451691,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-06,Punjab,Ludhiana,Ludhiana Mandi,3020.6087791467626,3170.6087791467626,3180.6087791467626,3190.6087791467626,4.965886381432381,0.002561176342501427,0.6323629015583918,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-07,Punjab,Ludhiana,Ludhiana Mandi,3036.4009073018365,3186.4009073018365,3196.4009073018365,3206.4009073018365,4.94005912194549,0.002858145414377889,1.5596399983006546,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%); Price spike Z-score (1.56) elevated
2024-01-08,Punjab,Ludhiana,Ludhiana Mandi,3044.0752545933656,3194.0752545933656,3204.0752545933656,3214.0752545933656,4.927604853843777,0.0026260694063606625,1.5917616982570697,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%); Price spike Z-score (1.59) elevated
2024-01-09,Punjab,Ludhiana,Ludhiana Mandi,3039.380510734016,3189.380510734016,3199.380510734016,3209.380510734016,4.935216221537682,0.0027112872766982482,1.0980551448293823,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%); Price spike Z-score (1.10) elevated
2024-01-10,Punjab,Ludhiana,Ludhiana Mandi,3044.8061111698757,3194.8061111698757,3204.8061111698757,3214.8061111698757,4.92642206180961,0.002538974983047883,1.25344577419134,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%); Price spike Z-score (1.25) elevated
2024-01-11,Punjab,Ludhiana,Ludhiana Mandi,3040.171934241751,3190.171934241751,3200.171934241751,3210.171934241751,4.933931476392353,0.002573661509975641,0.877362717453051,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%)
2024-01-12,Punjab,Ludhiana,Ludhiana Mandi,3035.5146367060483,3185.5146367060483,3195.5146367060483,3205.5146367060483,4.941501456990854,0.0025737604362056896,0.5463620567104236,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%)
2024-01-13,Punjab,Ludhiana,Ludhiana Mandi,3037.9342594217087,3187.9342594217087,3197.9342594217087,3207.9342594217087,4.937565700600563,0.002454253021131893,0.6683549436182755,WARNING,7D Forecast increase (+4.9%) exceeds warning limit (+3.0%)
2024-01-14,Punjab,Ludhiana,Ludhiana Mandi,3018.801456975131,3168.801456975131,3178.801456975131,3188.801456975131,4.968859401250637,0.003085551136905374,-0.6057584311515413,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-15,Punjab,Ludhiana,Ludhiana Mandi,3001.5522786500005,3151.5522786500005,3161.5522786500005,3171.5522786500005,4.99741420687382,0.0033795743929407158,-1.578403299960077,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-16,Punjab,Ludhiana,Ludhiana Mandi,2995.9294033575907,3145.9294033575907,3155.9294033575907,3165.9294033575907,5.006793545665408,0.0032895409595024186,-1.6861613487744684,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-17,Punjab,Ludhiana,Ludhiana Mandi,2985.8010921542464,3135.8010921542464,3145.8010921542464,3155.8010921542464,5.023777384037845,0.003276228068557673,-1.9354481155741774,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-18,Punjab,Ludhiana,Ludhiana Mandi,2988.943565480199,3138.943565480199,3148.943565480199,3158.943565480199,5.018495555833662,0.0031915555613420887,-1.5797274617520336,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-19,Punjab,Ludhiana,Ludhiana Mandi,2979.8633247249873,3129.8633247249873,3139.8633247249873,3149.8633247249873,5.033787917566439,0.003162337341287448,-1.7947749030037627,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-20,Punjab,Ludhiana,Ludhiana Mandi,2965.740287711634,3115.740287711634,3125.740287711634,3135.740287711634,5.057759124138952,0.0032261652937910657,-2.0931404739118267,WARNING,7D Forecast increase (+5.1%) exceeds warning limit (+3.0%)
2024-01-21,Punjab,Ludhiana,Ludhiana Mandi,2980.39677540085,3130.39677540085,3140.39677540085,3150.39677540085,5.032886937673783,0.0033829358070887245,-1.3659329231956607,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-22,Punjab,Ludhiana,Ludhiana Mandi,2978.1390123959845,3128.1390123959845,3138.1390123959845,3148.1390123959845,5.036702429794283,0.0032981753385798746,-1.3598380338042735,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
2024-01-23,Punjab,Ludhiana,Ludhiana Mandi,2978.8142944428637,3128.8142944428637,3138.8142944428637,3148.8142944428637,5.0355606349759015,0.0032216579259960443,-1.2548974349675295,WARNING,7D Forecast increase (+5.0%) exceeds warning limit (+3.0%)
